policy,domain,avg_quality,policy_label,grid_id
Always cheapest,AIME,0.7833333333333333,Always cheapest,
Always cheapest,GPQA,0.9333333333333333,Always cheapest,
Always cheapest,LCB,0.8833333333333333,Always cheapest,
Always cheapest,MMLU-Pro,0.85,Always cheapest,
Always best quality,AIME,0.9666666666666667,Always best quality,
Always best quality,GPQA,1.0,Always best quality,
Always best quality,LCB,1.0,Always best quality,
Always best quality,MMLU-Pro,0.9666666666666667,Always best quality,
A0 alpha=0.1,AIME,0.9666666666666667,A0 alpha=0.1,
A0 alpha=0.1,GPQA,1.0,A0 alpha=0.1,
A0 alpha=0.1,LCB,0.9833333333333333,A0 alpha=0.1,
A0 alpha=0.1,MMLU-Pro,0.9666666666666667,A0 alpha=0.1,
A0 alpha=0.5,AIME,0.9666666666666667,A0 alpha=0.5,
A0 alpha=0.5,GPQA,1.0,A0 alpha=0.5,
A0 alpha=0.5,LCB,1.0,A0 alpha=0.5,
A0 alpha=0.5,MMLU-Pro,0.9666666666666667,A0 alpha=0.5,
A0 alpha=1,AIME,0.9666666666666667,A0 alpha=1,
A0 alpha=1,GPQA,1.0,A0 alpha=1,
A0 alpha=1,LCB,1.0,A0 alpha=1,
A0 alpha=1,MMLU-Pro,0.9666666666666667,A0 alpha=1,
A0 alpha=2,AIME,0.9666666666666667,A0 alpha=2,
A0 alpha=2,GPQA,1.0,A0 alpha=2,
A0 alpha=2,LCB,1.0,A0 alpha=2,
A0 alpha=2,MMLU-Pro,0.9666666666666667,A0 alpha=2,
A0 alpha=5,AIME,0.9666666666666667,A0 alpha=5,
A0 alpha=5,GPQA,1.0,A0 alpha=5,
A0 alpha=5,LCB,1.0,A0 alpha=5,
A0 alpha=5,MMLU-Pro,0.9666666666666667,A0 alpha=5,
A0 alpha=10,AIME,0.9666666666666667,A0 alpha=10,
A0 alpha=10,GPQA,1.0,A0 alpha=10,
A0 alpha=10,LCB,1.0,A0 alpha=10,
A0 alpha=10,MMLU-Pro,0.9666666666666667,A0 alpha=10,
A1 K=1 B=0.000420126,AIME,0.6833333333333333,A1 K=1 B=0.000420126,
A1 K=1 B=0.000420126,GPQA,0.5333333333333333,A1 K=1 B=0.000420126,
A1 K=1 B=0.000420126,LCB,0.7,A1 K=1 B=0.000420126,
A1 K=1 B=0.000420126,MMLU-Pro,0.55,A1 K=1 B=0.000420126,
A1 K=1 B=0.000840251,AIME,0.6833333333333333,A1 K=1 B=0.000840251,
A1 K=1 B=0.000840251,GPQA,0.5333333333333333,A1 K=1 B=0.000840251,
A1 K=1 B=0.000840251,LCB,0.7,A1 K=1 B=0.000840251,
A1 K=1 B=0.000840251,MMLU-Pro,0.55,A1 K=1 B=0.000840251,
A1 K=1 B=0.00126038,AIME,0.6833333333333333,A1 K=1 B=0.00126038,
A1 K=1 B=0.00126038,GPQA,0.5333333333333333,A1 K=1 B=0.00126038,
A1 K=1 B=0.00126038,LCB,0.7,A1 K=1 B=0.00126038,
A1 K=1 B=0.00126038,MMLU-Pro,0.55,A1 K=1 B=0.00126038,
A1 K=2 B=0.000420126,AIME,0.8166666666666667,A1 K=2 B=0.000420126,
A1 K=2 B=0.000420126,GPQA,0.7333333333333333,A1 K=2 B=0.000420126,
A1 K=2 B=0.000420126,LCB,0.9166666666666666,A1 K=2 B=0.000420126,
A1 K=2 B=0.000420126,MMLU-Pro,0.7833333333333333,A1 K=2 B=0.000420126,
A1 K=2 B=0.000840251,AIME,0.7666666666666667,A1 K=2 B=0.000840251,
A1 K=2 B=0.000840251,GPQA,0.8166666666666667,A1 K=2 B=0.000840251,
A1 K=2 B=0.000840251,LCB,0.8833333333333333,A1 K=2 B=0.000840251,
A1 K=2 B=0.000840251,MMLU-Pro,0.8166666666666667,A1 K=2 B=0.000840251,
A1 K=2 B=0.00126038,AIME,0.85,A1 K=2 B=0.00126038,
A1 K=2 B=0.00126038,GPQA,0.7166666666666667,A1 K=2 B=0.00126038,
A1 K=2 B=0.00126038,LCB,0.8833333333333333,A1 K=2 B=0.00126038,
A1 K=2 B=0.00126038,MMLU-Pro,0.8833333333333333,A1 K=2 B=0.00126038,
A1 K=3 B=0.000420126,AIME,0.85,A1 K=3 B=0.000420126,
