policy,policy_label,scenario,avg_quality,avg_cost,grid_id
Always cheapest,Always cheapest,empirical,0.8624999999999999,0.0,
Always cheapest,Always cheapest,balanced,0.8624999999999999,0.0,
Always cheapest,Always cheapest,coding_heavy,0.8741666666666666,0.0,
Always cheapest,Always cheapest,math_heavy,0.8291666666666667,0.0,
Always cheapest,Always cheapest,knowledge_heavy,0.88,0.0,
Always cheapest,Always cheapest,l1_shift_to_AIME,0.8325,0.0,
Always cheapest,Always cheapest,l1_shift_to_GPQA,0.8925000000000001,0.0,
Always cheapest,Always cheapest,l1_shift_to_LCB,0.8825000000000001,0.0,
Always cheapest,Always cheapest,l1_shift_to_MMLU-Pro,0.8758333333333334,0.0,
Always best quality,Always best quality,empirical,0.9833333333333333,0.0016805021541666666,
Always best quality,Always best quality,balanced,0.9833333333333333,0.0016805021541666666,
Always best quality,Always best quality,coding_heavy,0.99,0.0018033195866666667,
Always best quality,Always best quality,math_heavy,0.975,0.002513624989166667,
Always best quality,Always best quality,knowledge_heavy,0.9833333333333334,0.0007233172116666667,
Always best quality,Always best quality,l1_shift_to_AIME,0.9766666666666667,0.0024739817441666668,
Always best quality,Always best quality,l1_shift_to_GPQA,0.99,0.0008870225641666666,
Always best quality,Always best quality,l1_shift_to_LCB,0.99,0.0013648108641666668,
Always best quality,Always best quality,l1_shift_to_MMLU-Pro,0.9833333333333334,0.0008820438641666666,
A0 alpha=0.1,A0 alpha=0.1,empirical,0.9791666666666666,0.0012209146541666666,
A0 alpha=0.1,A0 alpha=0.1,balanced,0.9791666666666666,0.0012209146541666666,
A0 alpha=0.1,A0 alpha=0.1,coding_heavy,0.9808333333333333,0.0007922270866666667,
A0 alpha=0.1,A0 alpha=0.1,math_heavy,0.9733333333333334,0.0023297899891666666,
A0 alpha=0.1,A0 alpha=0.1,knowledge_heavy,0.9816666666666667,0.0005394822116666667,
A0 alpha=0.1,A0 alpha=0.1,l1_shift_to_AIME,0.9725,0.002014394244166667,
A0 alpha=0.1,A0 alpha=0.1,l1_shift_to_GPQA,0.9858333333333333,0.00042743506416666665,
A0 alpha=0.1,A0 alpha=0.1,l1_shift_to_LCB,0.9825,0.0005375533641666666,
A0 alpha=0.1,A0 alpha=0.1,l1_shift_to_MMLU-Pro,0.9791666666666666,0.00042245636416666664,
A0 alpha=0.5,A0 alpha=0.5,empirical,0.9833333333333333,0.0016805021541666666,
A0 alpha=0.5,A0 alpha=0.5,balanced,0.9833333333333333,0.0016805021541666666,
A0 alpha=0.5,A0 alpha=0.5,coding_heavy,0.99,0.0018033195866666667,
A0 alpha=0.5,A0 alpha=0.5,math_heavy,0.975,0.002513624989166667,
A0 alpha=0.5,A0 alpha=0.5,knowledge_heavy,0.9833333333333334,0.0007233172116666667,
A0 alpha=0.5,A0 alpha=0.5,l1_shift_to_AIME,0.9766666666666667,0.0024739817441666668,
A0 alpha=0.5,A0 alpha=0.5,l1_shift_to_GPQA,0.99,0.0008870225641666666,
A0 alpha=0.5,A0 alpha=0.5,l1_shift_to_LCB,0.99,0.0013648108641666668,
A0 alpha=0.5,A0 alpha=0.5,l1_shift_to_MMLU-Pro,0.9833333333333334,0.0008820438641666666,
A0 alpha=1,A0 alpha=1,empirical,0.9833333333333333,0.0016805021541666666,
A0 alpha=1,A0 alpha=1,balanced,0.9833333333333333,0.0016805021541666666,
A0 alpha=1,A0 alpha=1,coding_heavy,0.99,0.0018033195866666667,
A0 alpha=1,A0 alpha=1,math_heavy,0.975,0.002513624989166667,
A0 alpha=1,A0 alpha=1,knowledge_heavy,0.9833333333333334,0.0007233172116666667,
A0 alpha=1,A0 alpha=1,l1_shift_to_AIME,0.9766666666666667,0.0024739817441666668,
A0 alpha=1,A0 alpha=1,l1_shift_to_GPQA,0.99,0.0008870225641666666,
A0 alpha=1,A0 alpha=1,l1_shift_to_LCB,0.99,0.0013648108641666668,
